,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Age_group,distance_group
56302,0,1,30,1,0,408,3,3,3,1,3,3,3,3,3,5,4,3,5,3,0,0.0,1,0,0
56303,1,0,23,1,0,2442,3,3,3,3,5,4,5,5,4,5,5,4,4,5,0,0.0,0,0,1
56304,0,0,40,1,0,2704,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0,0.0,0,1,1
56305,0,0,45,1,0,2351,3,3,3,3,5,5,5,3,3,4,3,5,3,4,0,0.0,0,1,1
56306,1,1,38,1,0,216,4,4,4,4,4,4,4,4,2,4,4,2,2,4,6,12.0,0,0,0
56307,1,1,27,1,0,1041,4,4,4,2,5,4,4,5,4,4,4,5,4,5,0,0.0,0,0,0
56311,1,1,21,1,2,594,3,2,3,4,2,3,2,2,3,3,3,2,3,2,1,0.0,1,0,0
56312,0,0,36,0,2,163,4,4,4,4,3,4,3,3,3,5,5,5,5,3,0,0.0,1,0,0
56314,1,0,21,0,0,853,2,4,2,3,5,2,5,5,3,2,4,4,4,5,0,3.0,1,0,0
56316,1,1,25,1,0,240,2,0,3,4,2,3,4,2,4,4,4,4,5,2,4,3.0,1,0,0
56317,1,0,38,0,2,257,1,3,1,3,2,1,2,2,1,5,3,2,3,2,0,0.0,1,0,0
56318,0,0,21,0,0,1027,2,5,2,1,5,2,5,5,3,4,5,3,4,5,0,1.0,1,0,0
56321,0,1,24,1,2,692,3,2,2,3,4,2,4,4,2,4,4,2,4,4,15,2.0,1,0,0
56322,1,0,24,0,2,651,4,4,4,3,2,4,2,2,3,4,4,5,4,2,0,0.0,1,0,0
56323,1,0,30,1,0,1943,2,2,2,2,5,5,5,5,5,3,3,4,3,5,0,5.0,0,0,1
56324,1,0,59,1,0,1670,5,5,5,5,5,4,4,5,5,5,5,5,5,5,0,0.0,0,1,1
56325,0,0,33,1,2,1825,4,4,4,4,4,4,4,4,2,1,5,3,1,4,14,0.0,0,0,1
56327,1,0,52,1,0,802,4,4,4,4,2,5,5,4,4,4,4,3,4,3,0,0.0,0,1,0
56328,1,0,35,0,2,1235,3,5,3,1,5,3,5,5,3,2,3,5,5,5,0,0.0,1,0,0
56329,0,0,27,1,0,1400,4,4,4,4,5,5,5,5,5,5,5,5,5,5,0,5.0,0,0,0
56330,1,0,67,0,2,1355,0,2,0,3,2,0,2,2,4,3,3,3,4,2,0,0.0,0,2,0
56332,0,0,64,0,2,1670,2,4,2,3,2,2,3,4,4,2,4,4,4,1,3,0.0,1,2,1
56334,1,0,44,1,2,689,2,2,2,2,2,2,2,2,4,1,3,4,2,2,0,0.0,0,1,0
56335,1,1,22,1,0,1157,2,4,2,3,4,2,4,4,4,5,3,3,4,4,13,4.0,1,0,0
56336,1,0,65,0,2,1276,2,4,2,5,1,2,1,1,3,5,4,3,4,1,0,1.0,1,2,0
56337,1,0,10,1,0,731,4,4,4,4,5,5,5,5,3,2,5,3,5,5,0,0.0,0,0,0
56338,0,0,63,1,0,337,2,2,2,2,2,4,5,4,4,4,4,3,4,4,0,0.0,0,2,0
56341,0,0,53,0,2,309,2,3,4,3,3,4,4,4,4,4,4,4,4,4,0,0.0,1,1,0
56342,0,0,29,1,0,849,3,3,3,3,3,3,3,3,2,5,4,2,3,3,22,8.0,1,0,0
56343,0,0,71,1,2,337,5,1,1,1,3,4,1,5,5,5,5,5,5,1,0,0.0,0,2,0
56344,0,0,29,1,0,1357,4,4,4,4,4,4,4,4,4,3,5,3,5,4,3,0.0,0,0,0
56346,1,1,26,1,0,361,3,3,3,1,3,3,1,3,4,3,4,3,2,3,0,0.0,1,0,0
56347,1,0,31,1,0,448,5,5,5,5,2,3,2,2,4,2,5,3,4,2,0,3.0,0,0,0
56350,1,0,27,1,0,2586,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,0.0,0,0,1
56351,0,0,67,1,0,264,4,5,5,5,1,4,4,4,4,4,4,3,4,2,0,0.0,1,2,0
56352,0,0,13,0,2,373,2,1,3,3,5,3,5,5,4,3,2,4,3,5,0,0.0,1,0,0
56353,1,1,24,1,2,1035,1,1,1,3,4,1,4,4,5,1,2,3,2,4,0,0.0,1,0,0
56354,0,0,34,0,2,338,2,5,2,1,3,2,3,3,4,3,4,4,4,3,0,0.0,1,0,0
56355,0,0,25,1,0,1726,1,4,4,4,1,1,1,1,2,5,3,3,4,1,14,0.0,1,0,1
56356,0,0,55,0,2,364,5,5,5,3,5,4,5,4,4,5,4,5,4,3,0,0.0,0,1,0
56359,1,0,54,1,2,192,2,4,4,4,2,2,2,2,4,5,3,4,4,2,0,0.0,1,1,0
56360,0,1,45,1,2,347,1,0,1,4,3,1,4,3,2,4,2,2,1,3,0,9.0,1,1,0
56362,1,0,15,0,2,246,1,4,1,4,4,1,2,4,3,3,5,3,5,4,0,5.0,1,0,0
56364,1,0,52,0,0,1188,2,5,2,1,2,4,5,1,1,2,1,3,1,5,21,9.0,1,1,0
56367,1,0,38,1,2,192,4,1,4,1,4,4,4,4,5,3,3,5,5,4,0,0.0,0,0,0
56369,1,0,35,0,2,311,3,5,5,3,1,5,1,1,4,4,5,5,4,1,0,0.0,1,0,0
56371,0,0,30,0,2,621,3,4,3,5,4,3,4,4,4,5,5,5,4,4,0,0.0,1,0,0
56374,0,0,21,1,0,829,5,5,5,5,4,4,4,4,5,5,2,2,2,4,0,0.0,0,0,0
56375,1,0,37,1,0,528,4,4,3,4,4,4,5,5,5,5,5,5,5,5,0,0.0,0,0,0
56376,0,0,47,1,0,317,3,1,1,1,4,4,3,3,3,3,3,4,3,4,19,6.0,1,1,0
56377,0,0,45,1,2,224,5,3,3,3,3,5,2,5,5,5,5,3,5,5,0,0.0,0,1,0
56378,0,0,46,1,0,2279,5,5,4,5,4,4,4,4,4,5,4,4,4,4,0,0.0,0,1,1
56379,1,0,50,0,2,191,2,4,2,3,2,2,3,2,4,4,5,4,5,2,0,7.0,1,1,0
56380,0,0,29,0,2,581,1,5,1,3,1,1,1,1,4,5,5,5,4,1,0,0.0,1,0,0
56381,0,0,61,0,2,2979,4,4,4,3,4,2,2,5,2,3,5,2,4,2,0,0.0,0,2,1
56383,1,0,35,1,0,604,3,3,3,3,4,4,5,5,5,5,5,5,5,4,0,0.0,0,0,0
56384,0,0,33,1,0,78,5,5,4,5,1,3,4,5,5,5,5,2,5,5,0,0.0,0,0,0
56385,1,1,27,1,2,733,3,3,3,4,3,3,3,3,3,2,4,4,4,3,2,8.0,1,0,0
56386,1,0,53,1,0,2923,1,1,1,1,2,4,5,4,4,4,4,3,4,3,0,0.0,0,1,1
56387,1,0,62,0,2,266,3,4,3,2,3,3,3,3,2,2,1,2,3,3,0,0.0,1,2,0
56388,0,0,55,1,2,126,3,1,1,1,3,3,3,2,2,3,2,2,2,1,0,0.0,1,1,0
56389,0,1,19,1,2,116,4,4,4,4,2,4,2,2,3,3,3,2,3,2,0,5.0,1,0,0
56390,0,0,73,1,0,2047,2,3,3,3,2,3,4,4,4,4,2,3,4,2,3,12.0,1,2,1
56393,1,0,53,1,0,366,2,2,2,2,3,5,4,4,4,4,4,5,4,4,0,0.0,0,1,0
56395,1,1,28,1,2,261,1,3,1,2,3,1,3,3,3,3,3,2,3,3,0,0.0,1,0,0
56398,0,0,33,0,2,545,2,3,2,2,3,2,3,3,4,2,3,4,3,3,0,0.0,1,0,0
56399,1,1,55,1,0,280,5,2,2,1,4,5,4,4,4,2,4,3,3,4,0,0.0,0,1,0
56400,0,0,22,1,0,557,5,5,4,5,4,5,4,4,4,5,5,5,5,4,0,6.0,0,0,0
56401,1,0,61,1,2,270,4,3,3,3,4,4,4,4,1,2,3,3,3,4,0,0.0,1,2,0
56402,1,0,50,1,0,3281,3,3,3,3,5,4,5,4,4,4,4,4,4,3,0,0.0,0,1,1
56405,0,0,26,1,0,1894,2,2,2,2,4,4,4,4,5,4,5,3,4,4,0,0.0,0,0,1
56407,0,0,54,0,2,373,3,0,3,3,5,1,5,5,5,3,5,2,5,4,0,0.0,1,1,0
56408,0,1,37,1,0,581,3,2,2,4,4,2,3,4,4,5,4,3,5,4,3,0.0,0,0,0
56409,1,0,67,0,2,577,4,2,4,2,1,4,1,1,2,1,2,4,2,1,0,0.0,1,2,0
56410,0,1,42,1,2,236,3,0,3,5,1,3,1,1,3,3,4,2,3,1,0,0.0,1,1,0
56413,1,0,34,1,0,1091,2,2,2,2,4,2,3,5,5,5,5,3,5,1,0,0.0,0,0,0
56414,0,0,41,0,2,377,4,5,4,2,4,4,4,4,3,5,4,5,5,4,0,0.0,1,1,0
56415,0,1,27,1,2,834,3,3,3,3,2,3,2,2,4,3,4,3,4,2,0,0.0,1,0,0
56416,1,1,22,1,2,632,3,4,3,3,2,3,3,2,4,4,5,5,4,2,0,0.0,1,0,0
56419,1,1,18,1,0,1192,2,4,2,3,3,2,3,3,1,5,4,4,4,3,0,2.0,1,0,0
56420,0,0,57,1,2,89,2,4,4,4,4,3,3,2,2,2,2,4,2,1,0,0.0,1,1,0
56421,0,0,30,1,0,781,2,4,4,4,2,2,2,2,3,4,3,2,4,2,0,0.0,1,0,0
56422,0,0,54,1,0,3455,4,4,4,4,2,1,2,5,5,5,5,2,5,5,0,0.0,0,1,1
56423,0,0,20,0,2,544,3,4,5,2,5,5,5,5,4,2,1,4,1,5,0,0.0,1,0,0
56424,0,1,26,1,0,164,3,0,3,4,4,3,2,4,5,2,4,4,5,4,0,0.0,1,0,0
56425,1,1,21,1,2,762,3,3,3,3,2,3,2,2,2,4,4,3,3,2,0,0.0,1,0,0
56426,1,0,70,0,2,2267,4,5,4,2,3,4,3,3,3,3,5,4,4,3,0,4.0,0,2,1
56429,0,1,29,1,0,139,5,5,5,4,5,5,5,5,5,4,4,5,4,5,0,0.0,0,0,0
56431,0,0,53,1,0,3310,1,1,1,1,5,5,5,5,5,4,5,3,5,4,1,0.0,0,1,1
56437,0,0,39,1,0,325,1,1,3,1,3,5,4,4,4,4,4,4,4,3,1,1.0,0,0,0
56438,0,0,68,0,2,562,2,4,2,5,2,4,2,1,1,2,1,3,1,4,0,0.0,1,2,0
56440,1,0,20,1,0,1021,2,1,1,1,2,2,2,2,3,5,3,2,3,2,0,0.0,1,0,0
56441,0,0,66,0,2,547,3,4,3,4,5,2,4,4,4,3,1,4,4,4,7,3.0,1,2,0
56442,0,1,63,1,2,305,4,1,4,2,2,4,2,2,4,5,1,3,2,2,0,0.0,1,2,0
56443,1,0,59,0,2,306,2,2,2,3,5,2,5,5,1,2,4,2,4,5,0,0.0,1,1,0
56445,1,0,59,1,0,272,3,3,3,3,4,4,5,5,5,5,5,4,5,5,0,10.0,0,1,0
56450,0,0,57,1,0,157,1,1,1,1,1,1,3,5,5,5,3,3,5,4,0,0.0,0,1,0
56452,0,0,30,0,0,405,1,4,1,4,3,1,3,3,2,2,3,4,4,3,0,0.0,1,0,0
56454,0,0,56,1,0,1850,1,1,1,1,4,4,5,5,5,4,5,5,5,4,0,0.0,0,1,1
56456,0,1,25,1,0,696,3,4,3,2,5,3,5,5,3,5,5,3,5,5,0,0.0,1,0,0
56457,0,0,46,0,1,226,2,1,2,2,1,2,1,1,1,2,1,2,1,2,0,0.0,1,1,0
56459,1,0,9,0,2,888,1,4,1,3,2,1,5,2,2,1,4,2,3,2,13,0.0,1,0,0
56460,0,1,32,1,0,401,4,4,4,2,4,4,4,4,3,2,4,4,4,4,12,4.0,1,0,0
56462,1,0,51,1,0,370,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0.0,0,1,0
56463,0,0,31,0,2,1197,2,5,2,4,1,2,1,1,1,5,4,3,5,1,0,0.0,1,0,0
56464,0,1,19,1,2,1242,2,2,2,1,2,2,2,2,3,3,5,3,5,2,8,0.0,0,0,0
56465,1,1,25,1,2,383,1,3,1,2,3,1,3,3,4,5,3,2,2,3,12,12.0,1,0,0
56466,1,0,53,0,2,689,3,5,3,4,4,3,4,4,4,2,5,4,5,4,2,0.0,1,1,0
56469,0,0,62,0,2,489,4,1,4,2,4,2,3,1,1,4,1,4,1,1,0,0.0,1,2,0
56470,1,0,52,0,2,719,2,5,2,5,1,2,2,1,3,3,5,4,5,1,0,0.0,1,1,0
56471,1,0,27,0,0,862,2,2,2,4,1,2,1,1,4,3,4,3,3,1,12,12.0,1,0,0
56472,0,0,41,1,0,3705,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0.0,0,1,1
56477,1,1,45,1,0,1440,3,3,3,3,5,3,5,5,4,3,4,5,4,5,0,0.0,1,1,0
56479,0,0,58,1,0,1749,2,2,2,2,3,3,4,5,5,5,5,4,5,5,0,0.0,0,1,1
56481,1,0,41,1,0,447,1,1,1,1,2,2,1,4,4,4,4,4,4,2,0,0.0,0,1,0
56482,1,0,52,1,0,224,4,5,5,5,1,4,4,4,4,4,4,3,4,4,0,0.0,1,1,0
56486,0,0,22,1,0,331,0,0,0,2,3,3,3,3,4,4,3,5,2,3,0,0.0,0,0,0
56487,0,0,47,1,0,197,2,5,4,4,1,2,3,1,1,1,2,2,1,1,0,0.0,1,1,0
56488,1,0,32,0,2,594,4,3,4,4,5,4,4,5,2,2,3,4,3,5,4,5.0,1,0,0
56489,0,0,40,1,0,2543,4,4,4,4,5,5,4,3,3,3,3,5,3,3,1,0.0,0,1,1
56491,0,0,31,1,0,834,2,1,5,1,2,2,2,2,4,4,3,4,3,2,0,0.0,1,0,0
56493,0,0,36,0,2,651,3,4,3,3,1,3,1,1,3,3,5,4,1,1,9,1.0,1,0,0
56494,1,0,37,1,0,2094,1,1,1,1,5,4,4,5,5,5,5,4,5,4,0,0.0,0,0,1
56495,0,0,37,1,0,140,5,5,5,5,4,4,5,4,4,5,5,3,4,5,6,0.0,0,0,0
56496,1,0,37,0,2,134,3,3,3,4,5,3,5,5,3,2,4,5,4,5,0,0.0,1,0,0
56497,1,0,47,0,2,678,2,4,1,3,3,1,3,3,5,3,4,4,4,3,0,0.0,1,1,0
56500,1,0,50,1,0,2725,4,4,4,4,3,5,5,4,4,4,4,3,4,4,0,2.0,0,1,1
56501,1,0,64,1,0,322,2,3,3,3,5,3,4,2,2,2,2,3,2,4,0,0.0,1,2,0
56502,0,1,39,1,0,406,2,2,2,3,3,2,3,3,4,5,5,4,5,3,0,4.0,1,0,0
56503,1,0,32,1,0,3510,4,3,4,4,4,4,5,4,3,4,4,5,5,4,0,0.0,0,0,1
56506,0,0,20,1,0,1491,5,5,5,5,4,4,4,4,4,2,5,3,4,4,21,8.0,0,0,0
56507,1,0,48,1,1,1499,3,1,1,1,3,3,3,3,2,2,2,4,2,3,12,11.0,0,1,0
56509,1,0,49,0,1,873,3,4,3,3,3,3,3,3,4,3,3,3,4,3,0,0.0,1,1,0
56510,0,0,8,0,1,985,2,1,2,1,4,2,4,4,3,1,2,2,2,4,0,0.0,1,0,0
56511,1,1,39,1,2,369,2,2,2,4,3,2,3,3,1,1,4,2,4,3,0,0.0,1,0,0
56512,0,1,26,1,0,541,3,0,3,5,5,3,5,5,3,4,4,3,4,5,5,6.0,1,0,0
56513,0,0,59,1,0,1585,4,5,5,5,3,4,4,2,2,2,4,4,2,1,0,0.0,1,1,1
56514,1,0,21,0,2,1972,1,4,0,2,1,0,1,1,5,3,5,4,4,1,16,3.0,1,0,1
56516,1,1,22,1,0,1045,5,4,5,5,5,5,5,5,4,3,5,5,5,5,17,9.0,0,0,0
56519,1,0,39,0,2,630,1,2,1,4,3,1,5,3,3,5,4,3,3,3,2,1.0,1,0,0
56521,1,0,41,1,0,3516,5,5,2,5,4,5,4,4,4,5,4,3,4,5,3,0.0,0,1,1
56524,1,0,51,1,0,150,1,1,1,1,3,4,5,5,5,5,4,4,5,3,0,0.0,0,1,0
56526,0,0,48,1,0,631,2,2,2,2,3,4,4,3,3,4,3,5,3,3,3,0.0,0,1,0
56528,0,0,57,0,2,265,3,5,3,1,4,5,1,5,5,3,5,2,5,5,0,0.0,1,1,0
56529,0,0,8,0,2,1188,2,2,2,3,2,2,2,2,1,1,3,2,4,2,0,0.0,1,0,0
56530,0,0,56,1,0,446,5,5,2,5,2,4,4,2,2,2,2,3,2,5,0,0.0,0,1,0
56531,0,1,26,1,2,116,1,0,1,4,3,1,2,3,4,4,4,2,4,3,0,0.0,1,0,0
56533,0,0,61,1,2,1943,2,2,2,2,5,3,3,2,2,2,2,4,2,2,0,0.0,1,2,1
56534,0,0,67,0,0,2077,5,4,4,2,3,5,5,3,3,4,3,3,3,3,0,0.0,0,2,1
56535,0,0,35,1,0,288,3,3,3,3,4,1,5,4,4,4,4,2,4,1,0,0.0,0,0,0
56537,1,0,63,0,2,1771,1,2,1,3,1,1,1,1,4,4,3,2,3,1,0,6.0,1,2,1
56539,0,1,40,1,0,458,3,3,3,1,3,3,3,3,5,5,4,4,5,3,0,0.0,1,1,0
56540,0,0,59,1,2,1269,2,4,4,4,5,3,4,2,2,2,2,3,2,1,0,0.0,1,1,0
56542,1,1,38,1,2,404,1,0,2,5,4,2,4,4,2,2,5,2,4,4,0,1.0,1,0,0
56543,0,0,29,0,2,122,3,2,3,2,3,3,2,3,1,1,3,2,2,3,0,0.0,1,0,0
56544,1,0,57,1,0,563,2,2,2,2,5,5,4,5,5,5,5,4,5,4,0,0.0,0,1,0
56545,1,0,30,1,0,2748,1,1,1,1,1,1,1,1,1,3,4,2,3,1,0,0.0,1,0,1
56546,1,0,49,1,0,3651,3,3,3,3,5,5,5,4,4,4,4,3,4,3,0,0.0,0,1,1
56548,0,0,54,0,2,2434,3,4,2,2,2,4,4,4,3,4,4,4,3,4,2,5.0,1,1,1
56550,0,0,13,0,2,781,1,4,1,4,5,1,5,5,3,5,4,4,4,5,15,6.0,1,0,0
56551,1,0,43,1,0,913,4,4,4,4,5,1,1,3,3,3,3,2,3,1,30,12.0,0,1,0
56552,1,0,67,0,2,651,3,3,3,4,4,3,4,4,1,4,4,3,3,4,0,0.0,1,2,0
56553,1,0,9,0,1,280,3,5,3,3,5,3,5,5,4,2,4,3,4,5,0,0.0,1,0,0
56554,1,0,49,1,0,191,3,3,3,3,5,4,5,4,4,4,5,3,4,4,0,0.0,0,1,0
56556,1,0,33,0,2,733,3,2,3,1,4,3,4,4,3,2,1,2,1,4,0,0.0,1,0,0
56557,0,0,12,1,0,1035,2,5,5,5,2,2,2,2,2,5,3,4,3,2,0,0.0,1,0,0
56558,0,0,19,0,2,312,4,2,4,3,2,4,2,2,1,3,3,3,4,2,16,10.0,0,0,0
56560,1,0,38,1,0,100,5,5,5,5,2,2,4,4,4,4,4,4,4,4,0,0.0,0,0,0
56564,0,0,48,1,0,678,2,2,2,2,5,4,4,5,5,4,5,3,5,5,0,0.0,0,1,0
56567,0,0,32,0,2,369,5,4,5,2,3,5,3,3,5,3,1,2,3,3,0,0.0,0,0,0
56568,0,1,29,1,0,1306,3,3,3,3,5,3,5,5,3,2,4,5,4,5,0,0.0,1,0,0
56571,1,0,69,0,2,253,1,4,1,2,5,1,5,5,4,4,5,5,5,5,0,0.0,1,2,0
56573,0,0,58,1,0,2278,5,5,5,5,5,5,4,5,5,4,5,4,5,4,0,0.0,0,1,1
56576,1,0,64,1,2,130,2,4,4,4,1,2,1,1,1,3,1,3,4,1,16,8.0,0,2,0
56577,1,0,19,1,0,3515,2,4,2,2,4,4,4,4,4,3,1,4,1,4,0,0.0,0,0,1
56579,0,1,62,1,0,364,2,2,2,4,5,2,3,5,4,2,4,2,4,5,1,4.0,1,2,0
56580,1,1,26,1,0,214,0,5,0,4,4,0,2,4,4,2,4,5,5,4,0,0.0,0,0,0
56582,0,1,39,1,2,102,1,1,1,4,1,1,1,1,2,4,3,3,4,1,0,0.0,1,0,0
56583,0,0,64,0,1,594,2,4,2,4,5,3,4,2,2,2,2,4,2,4,0,0.0,1,2,0
56584,0,0,21,1,0,228,0,0,0,2,5,5,5,5,3,1,3,5,3,5,0,0.0,0,0,0
56586,1,0,12,0,2,507,1,4,1,2,3,1,4,3,4,3,4,5,4,3,0,0.0,1,0,0
56587,1,0,59,1,1,308,2,5,2,5,2,2,2,2,2,1,1,4,3,2,0,0.0,0,1,0
56588,1,0,50,1,1,1105,4,4,4,4,4,4,4,4,5,2,5,3,5,4,0,3.0,0,1,0
56589,0,0,45,1,0,1684,3,3,3,3,5,5,4,4,4,4,4,4,4,4,0,0.0,0,1,1
56591,1,0,70,0,2,835,1,4,0,2,5,0,5,5,5,3,5,4,4,5,0,0.0,1,2,0
56596,1,0,23,0,2,500,4,4,4,2,3,4,3,3,5,4,4,3,5,3,0,0.0,0,0,0
56597,0,1,19,1,2,1188,4,4,4,3,3,4,3,3,3,3,4,4,4,3,0,0.0,0,0,0
56598,0,0,55,1,0,3218,2,2,2,2,2,5,4,5,5,5,4,4,5,5,6,1.0,0,1,1
56600,0,0,56,1,0,1851,5,5,5,5,2,3,5,4,4,4,4,3,4,4,0,0.0,0,1,1
56601,1,0,7,0,2,1036,1,5,2,3,1,2,1,1,5,2,5,5,4,1,0,0.0,1,0,0
56602,0,0,48,1,0,2683,2,2,2,2,4,4,5,5,5,5,5,5,5,4,0,0.0,0,1,1
56603,1,1,50,1,0,1045,5,5,5,3,4,5,4,4,4,5,5,3,5,4,0,0.0,0,1,0
56605,0,0,27,1,1,1276,1,3,4,3,1,1,1,1,1,3,4,3,4,1,0,0.0,1,0,0
56608,1,0,69,0,2,2077,3,5,3,3,4,3,1,4,4,4,4,3,5,4,0,0.0,1,2,1
56609,1,0,45,1,0,250,4,4,4,4,2,4,5,4,4,4,4,3,4,5,0,0.0,0,1,0
56610,1,0,50,0,2,1747,3,0,3,2,1,3,1,1,3,5,5,3,4,1,0,0.0,1,1,1
56611,0,0,37,0,2,1096,2,1,2,3,1,2,1,1,4,2,3,2,2,1,0,0.0,1,0,0
56613,0,0,52,1,0,3163,5,5,4,5,2,5,5,4,4,4,4,5,4,4,11,3.0,0,1,1
56615,0,0,10,0,1,405,1,4,1,4,4,1,4,4,4,4,4,3,5,4,0,0.0,1,0,0
56617,0,0,45,1,0,2857,4,4,4,4,2,5,5,4,4,4,4,5,4,5,0,0.0,0,1,1
56619,0,0,45,1,0,1947,1,1,1,1,3,3,4,4,4,4,4,4,4,4,0,0.0,0,1,1
56620,0,0,25,0,2,595,4,4,4,4,3,4,3,3,3,3,4,4,4,3,0,0.0,1,0,0
56621,0,0,28,0,2,127,2,4,2,1,4,2,1,4,3,3,3,4,5,4,5,0.0,1,0,0
56622,1,0,46,1,0,134,3,4,4,4,2,4,4,2,2,2,3,4,2,3,0,0.0,1,1,0
56623,1,0,13,0,2,588,5,4,5,2,2,4,2,2,5,2,5,5,4,2,0,0.0,0,0,0
56624,1,0,57,1,0,483,3,3,3,3,3,5,2,4,4,4,4,5,4,1,0,0.0,0,1,0
56625,0,0,45,0,2,737,4,5,4,4,5,5,5,4,4,4,4,4,4,4,0,0.0,1,1,0
56626,1,0,46,1,0,1756,1,1,1,1,4,4,4,4,4,4,4,3,4,3,2,0.0,0,1,1
56629,0,0,47,1,2,1504,4,5,5,5,1,5,4,4,4,4,4,5,4,5,0,0.0,0,1,1
56632,0,0,52,0,2,680,4,4,4,3,4,4,5,2,2,4,2,5,2,3,0,0.0,1,1,0
56633,0,0,59,1,0,1023,4,4,4,4,3,4,5,4,4,4,4,5,4,5,0,0.0,0,1,0
56636,1,0,55,1,0,3614,5,5,5,5,2,5,5,4,4,4,4,4,4,3,0,0.0,0,1,1
56637,1,0,42,1,1,191,4,1,1,1,4,4,4,4,5,2,1,4,5,4,0,0.0,0,1,0
56638,1,0,33,1,0,1592,3,3,3,3,4,4,4,4,5,1,3,2,5,4,0,0.0,0,0,1
56639,0,0,67,0,2,486,4,1,4,3,2,3,3,3,3,4,3,3,3,3,11,2.0,1,2,0
56640,1,0,55,1,0,868,3,3,3,3,3,4,5,4,4,4,4,3,4,4,0,0.0,0,1,0
56641,0,1,25,1,0,735,1,5,1,2,1,1,1,1,4,5,5,4,5,1,16,7.0,1,0,0
56642,0,0,70,0,2,283,3,5,3,3,5,4,4,2,2,3,2,5,2,4,18,12.0,1,2,0
56643,1,0,37,1,0,1892,5,5,5,5,3,4,4,3,3,3,3,4,3,3,1,0.0,0,0,1
56644,0,0,10,0,2,1749,1,4,1,3,3,1,1,3,3,1,3,3,3,3,1,0.0,1,0,1
56645,1,0,43,1,2,1290,4,1,1,1,3,4,3,3,5,3,3,2,2,3,0,0.0,0,1,0
56647,1,0,40,1,0,3105,1,1,1,1,3,4,4,4,4,4,4,3,4,5,0,0.0,0,1,1
56648,1,0,62,1,2,2239,1,4,4,4,1,1,1,1,3,4,3,2,4,1,0,0.0,1,2,1
56649,1,0,53,1,2,209,4,3,3,3,4,4,4,4,1,3,3,3,4,4,0,0.0,0,1,0
56651,1,0,51,1,0,1565,4,4,4,4,2,4,4,4,4,4,4,3,4,4,0,0.0,0,1,1
56652,1,0,35,1,0,1731,5,5,5,5,2,5,4,5,5,5,5,5,5,4,15,4.0,0,0,1
56653,1,0,70,0,2,500,3,1,3,3,2,3,2,2,1,3,3,4,2,2,0,0.0,1,2,0
56654,0,0,42,1,0,2015,2,2,2,2,1,3,3,4,4,4,5,5,4,3,0,0.0,0,1,1
56656,0,0,58,0,2,1558,2,5,2,4,3,4,4,5,5,2,5,5,5,3,7,0.0,1,1,1
56657,1,0,29,1,0,562,1,1,3,3,1,1,1,1,2,5,4,2,3,1,6,8.0,1,0,0
56658,0,1,22,1,0,1027,2,3,2,3,4,2,4,4,4,3,4,4,3,4,7,0.0,1,0,0
56660,1,0,39,1,0,861,1,1,1,1,4,4,4,5,5,5,5,5,5,5,0,0.0,0,0,0
56661,0,0,25,0,2,224,3,4,3,3,2,3,2,2,3,2,5,5,4,2,0,8.0,1,0,0
56664,1,1,26,1,0,967,4,4,4,4,2,4,2,2,3,4,5,5,5,2,0,2.0,0,0,0
56669,1,0,11,0,2,595,2,4,2,3,3,2,3,3,4,1,4,4,3,3,0,0.0,1,0,0
56671,1,0,41,1,2,602,2,5,5,5,2,2,2,2,4,4,4,2,3,2,1,0.0,1,1,0
56672,1,1,23,1,2,903,2,2,2,4,3,2,2,3,3,2,4,4,3,3,0,0.0,1,0,0
56674,0,0,61,0,2,862,2,5,2,1,2,4,5,1,1,2,1,4,1,5,0,10.0,1,2,0
56675,1,0,38,0,2,83,4,3,0,3,1,0,1,1,1,1,3,4,4,1,0,0.0,1,0,0
56679,1,0,58,1,0,1389,4,4,4,4,2,4,5,4,4,4,4,4,4,3,13,10.0,0,1,0
56680,0,0,47,1,0,2861,3,3,3,3,3,5,4,5,5,5,5,4,5,3,2,0.0,0,1,1
56681,1,0,43,1,0,1500,2,2,2,2,1,3,4,4,4,4,4,5,4,3,18,2.0,0,1,1
56682,0,0,33,1,0,583,4,3,3,3,3,4,3,4,4,3,4,3,4,4,0,0.0,1,0,0
56683,0,0,44,1,0,1978,1,1,3,1,5,4,5,2,2,3,2,4,2,4,0,0.0,0,1,1
56684,0,0,77,1,0,1682,1,3,3,3,3,2,3,1,1,1,1,2,1,2,0,0.0,1,2,1
56685,0,0,25,1,0,270,0,0,0,3,3,3,3,3,3,2,5,3,5,3,0,8.0,0,0,0
56686,1,0,63,0,2,1276,3,4,3,4,5,3,1,5,3,2,3,4,5,5,0,0.0,1,2,0
56689,1,0,36,1,0,1416,4,4,4,4,1,5,5,3,3,4,3,4,3,1,0,0.0,0,0,0
56690,0,0,36,1,2,347,5,5,5,5,5,5,5,5,5,2,1,3,3,5,0,0.0,0,0,0
